epoch,Lambda,Gamma,cover,learning_rate,quantiles,tree_height,feature_ratio,sample_ratio,time,confusion,acc,pre,spe,f1
10,0,10,1,0.3,5,3,0.25,0.25,13.53034353,"[[49  6]
 [ 7 28]]",0.855555556,0.823529412,0.890909091,0.811594203
10,0,10,1,0.3,5,6,0.25,0.25,13.40825939,"[[49  6]
 [ 7 28]]",0.855555556,0.823529412,0.890909091,0.811594203
10,0,10,1,0.3,13,3,0.25,0.25,14.0987308,"[[49  6]
 [ 7 28]]",0.855555556,0.823529412,0.890909091,0.811594203
10,0,10,1,0.3,13,6,0.25,0.25,14.29223919,"[[49  6]
 [ 7 28]]",0.855555556,0.823529412,0.890909091,0.811594203
10,0,10,3,0.1,5,3,0.25,0.25,14.40690875,"[[49  6]
 [ 7 28]]",0.855555556,0.823529412,0.890909091,0.811594203
10,0,10,3,0.1,5,6,0.25,0.25,14.00592041,"[[49  6]
 [ 7 28]]",0.855555556,0.823529412,0.890909091,0.811594203
10,0,10,3,0.1,13,3,0.25,0.25,15.30075836,"[[49  6]
 [ 7 28]]",0.855555556,0.823529412,0.890909091,0.811594203
10,0,10,3,0.1,13,6,0.25,0.25,14.82081699,"[[49  6]
 [ 7 28]]",0.855555556,0.823529412,0.890909091,0.811594203
10,0,10,3,0.3,5,3,0.25,0.25,14.26956606,"[[49  6]
 [ 7 28]]",0.855555556,0.823529412,0.890909091,0.811594203
10,0,10,3,0.3,5,6,0.25,0.25,13.95924807,"[[49  6]
 [ 7 28]]",0.855555556,0.823529412,0.890909091,0.811594203
10,0,10,3,0.3,13,3,0.25,0.25,14.96966052,"[[49  6]
 [ 7 28]]",0.855555556,0.823529412,0.890909091,0.811594203
10,0,10,3,0.3,13,6,0.25,0.25,14.4812336,"[[49  6]
 [ 7 28]]",0.855555556,0.823529412,0.890909091,0.811594203
10,0,10,5,0.1,5,3,0.25,0.25,14.9465239,"[[49  6]
 [ 7 28]]",0.855555556,0.823529412,0.890909091,0.811594203
10,0,10,5,0.1,5,6,0.25,0.25,15.77639079,"[[49  6]
 [ 7 28]]",0.855555556,0.823529412,0.890909091,0.811594203
10,0,10,5,0.1,13,3,0.25,0.25,15.43617392,"[[49  6]
 [ 7 28]]",0.855555556,0.823529412,0.890909091,0.811594203
10,0,10,5,0.1,13,6,0.25,0.25,16.12786794,"[[49  6]
 [ 7 28]]",0.855555556,0.823529412,0.890909091,0.811594203
10,0,10,5,0.3,5,3,0.25,0.25,15.35217285,"[[49  6]
 [ 7 28]]",0.855555556,0.823529412,0.890909091,0.811594203
10,0,10,5,0.3,5,6,0.25,0.25,14.9490006,"[[49  6]
 [ 7 28]]",0.855555556,0.823529412,0.890909091,0.811594203
10,0,10,5,0.3,13,3,0.25,0.25,15.06772757,"[[49  6]
 [ 7 28]]",0.855555556,0.823529412,0.890909091,0.811594203
10,0,10,5,0.3,13,6,0.25,0.25,15.17376184,"[[49  6]
 [ 7 28]]",0.855555556,0.823529412,0.890909091,0.811594203
10,1,0,0,0.1,5,3,0.25,0.25,17.61420655,"[[49  6]
 [ 7 28]]",0.855555556,0.823529412,0.890909091,0.811594203
10,1,0,0,0.1,5,6,0.25,0.25,24.97287512,"[[49  6]
 [ 7 28]]",0.855555556,0.823529412,0.890909091,0.811594203
10,1,0,0,0.1,13,3,0.25,0.25,19.81337643,"[[49  6]
 [ 7 28]]",0.855555556,0.823529412,0.890909091,0.811594203
10,1,0,0,0.1,13,6,0.25,0.25,26.29281116,"[[49  6]
 [ 7 28]]",0.855555556,0.823529412,0.890909091,0.811594203
10,1,0,0,0.3,5,3,0.25,0.25,18.26253772,"[[49  6]
 [ 7 28]]",0.855555556,0.823529412,0.890909091,0.811594203
