,epoch,Lambda,Gamma,cover,learning_rate,quantiles,tree_height,feature_ratio,sample_ratio,time,confusion,acc,pre,spe,f1
112,10,0,10,3,0.1,5,3,0.25,0.25,14.406908750534058,"[[49  6]
 [ 7 28]]",0.8555555555555555,0.8235294117647058,0.8909090909090909,0.8115942028985507
113,10,0,10,3,0.1,5,6,0.25,0.25,14.00592041015625,"[[49  6]
 [ 7 28]]",0.8555555555555555,0.8235294117647058,0.8909090909090909,0.8115942028985507
114,10,0,10,3,0.1,13,3,0.25,0.25,15.300758361816406,"[[49  6]
 [ 7 28]]",0.8555555555555555,0.8235294117647058,0.8909090909090909,0.8115942028985507
115,10,0,10,3,0.1,13,6,0.25,0.25,14.82081699371338,"[[49  6]
 [ 7 28]]",0.8555555555555555,0.8235294117647058,0.8909090909090909,0.8115942028985507
116,10,0,10,3,0.3,5,3,0.25,0.25,14.269566059112549,"[[49  6]
 [ 7 28]]",0.8555555555555555,0.8235294117647058,0.8909090909090909,0.8115942028985507
117,10,0,10,3,0.3,5,6,0.25,0.25,13.959248065948486,"[[49  6]
 [ 7 28]]",0.8555555555555555,0.8235294117647058,0.8909090909090909,0.8115942028985507
118,10,0,10,3,0.3,13,3,0.25,0.25,14.969660520553589,"[[49  6]
 [ 7 28]]",0.8555555555555555,0.8235294117647058,0.8909090909090909,0.8115942028985507
119,10,0,10,3,0.3,13,6,0.25,0.25,14.481233596801758,"[[49  6]
 [ 7 28]]",0.8555555555555555,0.8235294117647058,0.8909090909090909,0.8115942028985507
120,10,0,10,5,0.1,5,3,0.25,0.25,14.946523904800417,"[[49  6]
 [ 7 28]]",0.8555555555555555,0.8235294117647058,0.8909090909090909,0.8115942028985507
121,10,0,10,5,0.1,5,6,0.25,0.25,15.776390790939333,"[[49  6]
 [ 7 28]]",0.8555555555555555,0.8235294117647058,0.8909090909090909,0.8115942028985507
122,10,0,10,5,0.1,13,3,0.25,0.25,15.436173915863035,"[[49  6]
 [ 7 28]]",0.8555555555555555,0.8235294117647058,0.8909090909090909,0.8115942028985507
123,10,0,10,5,0.1,13,6,0.25,0.25,16.127867937088013,"[[49  6]
 [ 7 28]]",0.8555555555555555,0.8235294117647058,0.8909090909090909,0.8115942028985507
